customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,churn
C00001,28,68.28,4649.73,Month-to-month,No,Electronic check,0
C00002,44,85.95,336.74,One year,No,Credit card,0
C00003,43,23.54,3876.88,Month-to-month,DSL,Bank transfer,1
C00004,29,111.69,4974.16,Month-to-month,Fiber optic,Credit card,0
C00005,61,26.26,3403.68,Month-to-month,Fiber optic,Credit card,0
C00006,46,73.65,2928.77,One year,DSL,Electronic check,0
C00007,38,67.26,4835.89,Two year,DSL,Electronic check,0
C00008,40,80.02,3757.12,Month-to-month,Fiber optic,Mailed check,1
C00009,12,113.51,7712.74,Month-to-month,No,Electronic check,1
C00010,70,43.28,1937.25,Month-to-month,No,Credit card,1
C00011,35,36.0,5630.79,Month-to-month,No,Bank transfer,0
C00012,67,24.76,6730.11,Month-to-month,Fiber optic,Credit card,0
C00013,5,37.26,914.32,Two year,Fiber optic,Electronic check,0
C00014,9,58.35,4087.71,Month-to-month,No,Electronic check,0
C00015,63,78.91,4865.76,One year,Fiber optic,Credit card,0
C00016,17,34.54,689.55,Month-to-month,Fiber optic,Electronic check,1
C00017,42,76.92,1351.34,Two year,Fiber optic,Credit card,0
C00018,11,60.02,1552.36,Two year,Fiber optic,Credit card,1
C00019,45,52.54,1931.47,One year,Fiber optic,Electronic check,0
C00020,36,99.75,6513.48,Month-to-month,Fiber optic,Credit card,1
C00021,49,109.32,5117.6,Month-to-month,No,Bank transfer,1
C00022,52,105.28,6669.08,Month-to-month,DSL,Electronic check,1
C00023,54,37.08,1687.69,Two year,DSL,Electronic check,1
C00024,23,95.64,7599.27,Month-to-month,DSL,Electronic check,0
C00025,36,49.06,1786.53,Month-to-month,Fiber optic,Bank transfer,0
C00026,57,97.65,1749.74,One year,Fiber optic,Bank transfer,0
C00027,23,69.36,6117.79,One year,Fiber optic,Credit card,0
C00028,7,107.14,223.17,One year,No,Electronic check,0
C00029,45,47.49,6291.39,Two year,Fiber optic,Bank transfer,0
C00030,45,85.76,528.07,Month-to-month,No,Credit card,0
C00031,50,40.14,1230.45,Month-to-month,DSL,Mailed check,0
C00032,44,62.53,1038.12,Two year,Fiber optic,Credit card,0
C00033,12,87.46,6393.82,Month-to-month,No,Credit card,0
C00034,22,55.2,7278.72,Month-to-month,DSL,Electronic check,0
C00035,63,57.07,4686.91,One year,DSL,Electronic check,0
C00036,21,79.49,2641.51,Month-to-month,No,Mailed check,0
C00037,67,76.23,2539.11,Month-to-month,No,Electronic check,0
C00038,51,85.88,351.15,One year,Fiber optic,Bank transfer,0
C00039,69,75.3,6473.64,One year,No,Electronic check,0
C00040,70,101.7,3476.59,Two year,No,Credit card,0
C00041,5,91.1,7149.6,One year,No,Credit card,1
C00042,52,45.58,2193.78,Month-to-month,Fiber optic,Electronic check,0
C00043,32,44.43,4482.97,One year,Fiber optic,Electronic check,0
C00044,59,72.04,6695.66,Two year,No,Bank transfer,0
C00045,11,29.55,3107.57,Month-to-month,No,Bank transfer,1
C00046,26,103.71,6800.81,Month-to-month,DSL,Bank transfer,0
C00047,5,112.16,4669.78,Two year,Fiber optic,Credit card,0
C00048,12,114.07,4301.94,Month-to-month,Fiber optic,Credit card,0
C00049,29,85.53,1137.61,One year,No,Electronic check,0
C00050,6,95.95,1513.26,Month-to-month,No,Credit card,0
C00051,63,93.03,4571.51,Two year,Fiber optic,Credit card,0
C00052,58,116.52,1431.5,Two year,No,Bank transfer,1
C00053,63,39.55,7200.63,Month-to-month,Fiber optic,Electronic check,0
C00054,13,115.57,1849.77,One year,DSL,Electronic check,0
C00055,42,84.62,2240.03,One year,No,Electronic check,0
C00056,44,49.24,152.06,Month-to-month,Fiber optic,Electronic check,0
C00057,48,46.68,5651.39,Month-to-month,Fiber optic,Mailed check,1
C00058,26,98.0,7722.17,One year,Fiber optic,Mailed check,1
C00059,16,110.13,1082.92,Two year,DSL,Electronic check,1
C00060,18,114.04,7026.33,Month-to-month,Fiber optic,Credit card,1
C00061,27,111.09,7216.35,Two year,No,Electronic check,0
C00062,33,62.13,4673.77,Month-to-month,No,Electronic check,0
C00063,15,99.85,6209.93,Two year,No,Mailed check,0
C00064,36,83.13,6803.99,One year,Fiber optic,Mailed check,0
C00065,9,37.68,1468.63,Month-to-month,No,Bank transfer,0
C00066,61,28.78,1047.33,Month-to-month,No,Bank transfer,0
C00067,28,118.0,1910.24,Month-to-month,No,Bank transfer,0
C00068,16,49.02,6469.49,Month-to-month,DSL,Credit card,0
C00069,31,42.31,3475.42,Month-to-month,No,Electronic check,1
C00070,54,25.25,7668.04,One year,Fiber optic,Mailed check,0
C00071,11,99.28,1973.14,Month-to-month,No,Bank transfer,1
C00072,38,109.97,7701.22,Month-to-month,DSL,Bank transfer,0
C00073,45,104.51,3575.95,One year,Fiber optic,Bank transfer,0
C00074,15,50.99,4115.18,Month-to-month,DSL,Bank transfer,0
C00075,59,60.12,4487.16,One year,DSL,Electronic check,0
C00076,21,100.23,5242.65,One year,No,Mailed check,0
C00077,27,83.19,2361.42,One year,DSL,Electronic check,1
C00078,64,67.77,5373.83,Month-to-month,No,Mailed check,1
C00079,27,20.87,770.97,Month-to-month,Fiber optic,Electronic check,1
C00080,25,65.23,7321.02,Month-to-month,No,Mailed check,0
C00081,63,42.46,7122.39,One year,Fiber optic,Bank transfer,1
C00082,69,75.64,2130.44,Month-to-month,No,Mailed check,1
C00083,40,51.12,3247.34,Month-to-month,No,Electronic check,0
C00084,62,115.01,5937.5,One year,DSL,Mailed check,0
C00085,44,84.65,4444.79,Two year,DSL,Bank transfer,0
C00086,62,40.63,6138.91,One year,Fiber optic,Bank transfer,1
C00087,65,43.82,5991.0,Month-to-month,No,Credit card,1
C00088,27,51.87,927.22,Two year,Fiber optic,Credit card,1
C00089,1,65.84,905.58,Month-to-month,DSL,Bank transfer,0
C00090,12,94.26,3216.72,Month-to-month,Fiber optic,Electronic check,0
C00091,25,90.9,2583.08,Month-to-month,DSL,Mailed check,0
C00092,14,76.93,1064.07,Two year,No,Bank transfer,0
C00093,14,52.62,4143.37,One year,No,Electronic check,0
C00094,55,40.4,7394.65,Two year,Fiber optic,Electronic check,1
C00095,51,28.85,7825.79,Month-to-month,Fiber optic,Mailed check,1
C00096,39,67.06,6512.21,Two year,DSL,Mailed check,0
C00097,23,47.93,4110.54,Month-to-month,Fiber optic,Electronic check,0
C00098,47,101.23,7014.49,Two year,No,Electronic check,0
C00099,68,102.33,6676.04,Month-to-month,Fiber optic,Bank transfer,0
C00100,16,50.93,4347.2,Month-to-month,Fiber optic,Electronic check,0
C00101,30,68.69,1252.11,Month-to-month,Fiber optic,Bank transfer,1
C00102,41,58.62,442.26,One year,DSL,Mailed check,0
C00103,22,115.98,3930.03,One year,No,Mailed check,1
C00104,57,117.1,5097.23,Two year,No,Credit card,1
C00105,17,84.18,3109.83,Month-to-month,DSL,Bank transfer,0
C00106,64,37.68,218.03,Month-to-month,Fiber optic,Electronic check,1
C00107,47,63.77,3491.68,Two year,No,Credit card,0
C00108,12,22.7,6051.21,Month-to-month,DSL,Credit card,0
C00109,19,59.8,6175.71,Month-to-month,Fiber optic,Mailed check,0
C00110,67,98.43,1367.76,Month-to-month,Fiber optic,Electronic check,1
C00111,11,88.84,5738.91,Two year,DSL,Electronic check,0
C00112,67,114.29,1838.52,Two year,No,Credit card,0
C00113,61,61.97,3122.45,One year,No,Bank transfer,0
C00114,3,85.39,6459.81,Month-to-month,Fiber optic,Credit card,0
C00115,7,92.0,5775.39,Month-to-month,Fiber optic,Credit card,0
