transaction_id,amount,transaction_hour,day_of_week,distance_from_home,foreign_transaction,previous_attempts_24h,is_fraud
1,118.34,20,2,18.4,0,1,0
2,76.9,2,2,9.2,0,1,0
3,103.71,9,3,40.4,0,0,0
4,189.82,8,6,44.4,0,0,0
5,126.87,10,6,17.9,1,1,0
6,34.65,19,0,22.9,0,2,0
7,117.02,12,0,39.1,0,1,0
8,159.95,10,6,34.2,0,0,0
9,145.01,16,2,1.1,0,1,0
10,134.43,18,2,18.7,1,2,0
11,680.72,9,0,44.5,0,0,1
12,135.28,0,5,8.4,0,0,0
13,168.95,20,6,78.6,1,1,0
14,211.09,19,0,24.6,0,1,0
15,48.19,15,1,115.7,0,0,0
16,42.27,4,3,42.1,0,0,0
17,127.86,14,2,33.7,0,0,0
18,7.54,21,4,8.5,0,1,0
19,130.18,18,4,91.6,1,0,0
20,52.01,6,6,1.9,0,0,0
21,28.78,19,4,72.0,1,0,0
22,81.87,11,1,232.4,0,1,0
23,76.88,0,3,90.7,1,0,0
24,805.51,20,3,94.3,0,0,1
25,125.39,13,6,34.2,0,0,0
26,67.15,7,4,3.0,0,2,0
27,126.11,4,0,55.7,0,1,0
28,162.54,12,3,19.1,0,1,0
29,94.92,5,2,57.3,0,1,0
30,37.35,0,5,36.0,0,0,0
31,142.92,6,0,130.8,0,2,0
32,247.39,17,0,107.0,0,0,0
33,89.65,11,1,115.5,0,0,0
34,25.13,1,0,54.0,0,0,0
35,1098.94,15,2,21.3,1,2,1
36,50.48,9,0,56.5,0,1,0
37,97.95,23,1,115.5,1,3,0
38,147.46,19,1,8.3,0,0,0
39,173.36,22,6,38.1,0,0,0
40,15.46,4,0,29.4,0,0,0
41,314.75,0,0,158.1,1,0,0
42,139.55,16,1,26.7,0,1,0
43,17.31,22,6,15.4,0,0,0
44,270.44,22,1,18.5,0,1,0
45,169.14,10,0,16.3,0,0,0
46,112.1,5,5,148.6,1,0,0
47,25.15,1,3,137.5,1,1,0
48,161.05,16,6,7.3,0,0,0
49,555.66,4,0,23.6,1,0,1
50,122.18,14,3,6.1,0,0,0
51,34.08,4,1,54.5,0,0,0
52,1195.43,14,1,6.3,0,0,1
53,38.41,0,2,72.5,0,0,0
54,19.05,3,6,17.0,0,1,0
55,45.44,18,6,35.6,0,0,0
56,62.77,17,3,54.4,0,0,0
57,107.93,12,1,61.6,0,2,0
58,153.23,3,0,96.7,1,1,0
59,165.69,2,2,305.7,0,1,0
60,111.54,14,6,38.8,0,0,0
61,45.25,20,5,38.1,0,0,0
62,101.98,3,5,38.6,0,2,0
63,142.68,8,1,27.6,0,0,0
64,59.32,6,5,29.7,0,0,0
65,157.22,19,0,1.6,0,1,0
66,65.92,8,0,15.2,0,0,0
67,98.95,16,3,41.3,0,1,0
68,135.79,9,0,59.1,0,1,0
69,125.1,9,4,35.5,0,1,0
70,7.98,15,3,48.6,0,1,0
71,68.65,14,1,4.2,0,0,0
72,1086.04,14,4,11.5,1,1,1
73,184.17,7,0,16.7,0,1,0
74,52.54,9,3,34.7,0,0,0
75,9.54,4,1,49.7,1,0,0
76,17.44,21,5,30.8,0,0,0
77,49.22,8,2,21.4,1,0,0
78,50.22,4,4,28.7,0,0,0
79,172.33,21,4,79.8,0,0,0
80,366.0,14,1,3.3,0,1,0
81,73.54,18,6,32.2,0,0,0
82,220.98,7,1,13.6,0,1,0
83,20.92,13,2,28.1,0,0,0
84,56.53,13,0,0.6,0,1,0
85,50.34,21,0,3.0,0,0,0
86,12.58,11,2,40.3,0,0,0
87,36.68,15,1,23.1,0,0,0
88,106.49,0,0,32.1,0,1,0
89,23.48,13,3,45.9,0,1,0
90,73.41,8,6,18.3,1,0,0
91,45.57,17,0,42.6,0,0,0
92,47.81,6,4,15.2,0,0,0
93,130.74,17,4,46.5,0,1,0
94,57.86,0,6,49.4,0,1,0
95,21.72,16,1,19.9,0,0,0
96,26.59,16,6,23.9,0,0,0
97,53.75,11,5,19.3,0,1,0
98,198.67,12,6,71.2,0,0,0
99,3.56,20,6,15.2,0,0,0
100,44.65,19,1,74.4,0,1,0
101,58.69,14,0,5.8,1,1,0
102,150.72,22,0,58.6,0,0,0
103,26.13,10,1,92.1,0,1,0
104,1719.31,0,3,5.9,0,0,1
105,230.47,23,1,19.4,0,0,0
106,65.48,22,0,6.6,0,1,0
107,105.51,14,1,70.4,0,0,0
108,327.76,21,1,41.0,0,0,1
109,101.98,20,3,12.8,1,1,0
110,57.17,7,3,153.5,0,0,0
111,49.41,13,2,242.5,0,1,0
112,145.47,22,3,7.1,0,0,0
113,75.82,3,6,22.6,0,1,0
114,80.92,19,1,86.9,0,1,0
115,86.2,10,4,30.6,0,0,0
116,47.05,3,2,50.2,0,0,0
117,42.93,14,0,21.3,0,0,0
118,126.68,15,3,8.8,0,1,0
119,164.52,0,2,69.8,0,0,0
120,149.84,14,0,3.6,0,0,0
121,178.45,18,6,12.6,0,0,0
122,53.0,8,2,37.2,0,0,0
123,17.33,15,1,145.6,0,1,0
124,392.8,8,3,150.7,0,0,0
125,18.83,3,1,78.0,0,1,0
126,81.57,1,6,144.5,0,0,0
127,107.09,14,6,38.5,1,2,0
128,15.67,7,0,14.1,0,1,0
129,165.71,20,0,75.1,0,1,0
130,90.41,9,2,3.5,0,0,0
131,42.15,7,0,27.0,0,0,0
132,1095.35,17,4,150.6,0,0,1
133,39.46,13,0,31.6,0,2,0
134,109.0,18,4,73.6,1,0,0
135,62.41,4,2,4.3,0,1,0
136,100.27,3,4,11.1,1,1,0
137,170.02,1,5,146.1,1,0,0
138,411.04,23,4,50.2,0,0,1
139,230.06,5,2,49.1,0,0,0
140,25.53,18,3,25.9,0,1,0
141,47.89,22,5,89.4,0,1,0
142,159.35,19,6,191.6,0,2,0
143,85.58,19,4,0.5,0,0,0
144,159.16,19,3,67.8,0,0,0
145,61.86,17,2,6.3,0,0,0
146,192.1,6,6,26.6,0,1,0
147,53.44,6,3,91.2,0,0,0
148,93.07,19,5,26.5,0,0,0
149,574.8,5,6,92.5,1,1,1
150,22.98,5,5,20.5,0,3,0
151,221.16,2,4,6.8,0,0,0
152,223.56,10,4,137.6,0,0,0
153,214.11,5,0,2.8,0,0,0
154,28.92,6,5,24.5,0,0,0
155,38.72,8,6,114.2,1,0,0
156,228.98,22,3,72.6,1,0,0
157,155.8,15,1,79.6,1,0,0
158,130.85,19,3,18.8,0,0,0
159,58.15,1,3,43.0,1,0,0
160,272.88,3,5,14.6,0,0,0
161,45.55,22,6,20.6,0,0,0
162,101.14,17,1,74.1,0,1,0
163,142.07,3,1,19.7,0,0,0
164,114.22,15,5,15.4,0,1,0
165,31.18,21,4,47.4,0,0,0
166,118.38,5,3,11.8,0,0,0
167,31.64,2,5,20.9,0,0,0
168,60.61,23,4,96.0,0,0,0
169,67.89,18,2,86.5,1,1,0
170,155.08,8,4,160.6,1,1,0
171,18.09,1,4,19.2,1,0,0
172,99.79,6,4,4.7,1,1,0
173,112.67,9,0,25.7,1,1,0
174,36.36,1,3,66.9,0,0,0
175,1767.34,2,0,91.7,0,0,1
176,46.44,18,4,95.3,0,0,0
177,125.87,23,4,12.5,0,3,0
178,325.91,22,2,108.2,0,2,0
179,134.08,7,2,5.4,1,0,0
180,1915.12,9,6,21.2,1,0,1
181,74.4,20,0,14.8,1,0,0
182,185.8,19,2,3.6,1,1,0
183,76.75,16,0,43.6,1,1,0
184,53.76,16,1,12.7,0,0,0
185,21.27,18,6,123.8,0,0,0
186,106.19,17,2,7.8,0,0,0
187,61.78,23,4,1.7,0,0,0
188,327.32,15,3,28.4,1,1,1
189,69.68,17,1,23.4,1,0,0
190,15.92,14,5,66.9,0,0,0
191,128.93,5,1,3.7,0,2,0
192,36.29,18,0,48.9,0,0,0
193,276.75,12,2,111.5,0,0,0
194,155.38,0,0,0.5,0,1,0
195,58.79,0,5,69.1,0,0,0
196,121.34,12,5,13.6,0,0,0
197,74.59,10,2,15.5,0,0,0
198,108.34,4,4,48.1,0,2,0
199,19.77,6,6,53.0,0,0,0
200,60.66,19,5,77.4,1,2,0
201,14.9,11,5,88.9,0,2,0
202,62.84,12,2,157.1,0,0,0
203,52.73,15,1,58.1,0,0,0
204,76.49,0,6,7.1,1,0,0
205,57.23,14,6,200.8,0,1,0
206,93.85,7,0,11.0,0,0,0
207,16.63,9,2,154.3,0,0,0
208,220.49,1,5,1.4,0,0,0
209,137.17,19,1,6.3,0,1,0
210,40.28,0,3,18.2,0,0,0
211,19.06,12,4,104.0,1,1,0
212,129.92,3,6,132.5,0,1,0
213,33.45,20,4,12.0,0,1,0
214,178.1,2,2,117.3,0,1,0
215,64.64,18,5,2.9,0,1,0
216,155.22,4,6,31.4,0,0,0
217,176.75,2,4,39.7,0,0,0
218,62.77,23,4,24.0,0,0,0
219,130.06,0,6,32.3,0,1,0
220,30.82,5,2,105.2,0,1,0
221,160.37,0,4,48.5,0,0,0
222,177.9,21,3,219.0,0,0,0
223,61.4,8,5,86.9,0,0,0
224,106.91,3,1,7.7,0,1,0
225,60.22,16,1,78.3,0,0,0
226,174.1,6,4,76.2,0,0,0
227,176.46,18,0,116.3,0,0,0
228,22.67,6,1,5.8,1,1,0
229,62.93,1,3,22.8,0,2,0
230,71.49,13,0,0.6,0,0,0
231,60.52,9,5,7.1,0,1,0
232,79.51,1,1,46.9,0,0,0
233,127.17,10,4,3.8,0,0,0
234,9.47,0,0,87.0,0,0,0
235,69.86,8,4,50.4,0,0,0
236,183.71,10,6,32.8,0,1,0
237,33.7,9,4,129.8,0,1,0
238,133.7,11,5,18.1,0,1,0
239,53.15,19,1,113.0,0,0,0
240,87.64,15,1,30.0,0,2,0
241,111.92,23,1,4.4,0,1,0
242,25.4,19,3,25.5,0,1,0
243,86.58,14,2,11.2,0,0,0
244,104.45,10,3,51.3,0,0,0
245,35.79,20,0,108.9,1,1,0
246,61.23,18,3,5.5,0,0,0
247,183.79,14,6,11.6,0,2,0
248,94.49,23,1,86.8,0,0,0
249,10.8,3,3,23.1,0,0,0
250,36.17,18,4,180.7,1,2,0
251,60.37,11,2,6.9,0,0,0
252,101.78,15,2,221.5,1,2,0
253,57.89,22,3,42.3,0,2,0
254,50.99,18,4,17.0,0,1,0
255,127.26,17,1,116.3,0,0,0
256,49.72,11,0,37.6,0,1,0
257,56.02,19,3,17.0,1,0,0
258,62.69,2,0,12.8,0,1,0
259,95.07,1,4,48.0,1,1,0
260,217.97,11,3,21.0,0,0,0
261,5.81,2,0,225.7,0,0,0
262,153.64,1,1,29.3,0,2,0
263,98.64,2,4,86.7,0,1,0
264,18.06,15,3,79.5,0,0,0
265,109.42,19,2,159.3,0,0,0
266,70.92,15,1,5.8,0,0,0
267,114.47,3,1,28.2,0,2,0
268,1732.7,22,3,70.9,0,0,1
269,96.73,10,1,149.0,0,0,0
270,28.8,6,1,13.5,0,2,0
271,97.84,8,2,1.2,0,0,0
272,43.59,15,6,31.9,0,2,0
273,27.87,1,6,60.8,1,1,0
274,249.31,18,1,53.6,0,1,0
275,122.33,9,4,21.1,0,1,0
276,133.97,7,6,35.4,0,1,0
277,27.13,15,0,19.4,0,0,0
278,126.0,11,6,62.0,0,1,0
279,133.02,13,2,7.1,0,1,0
280,20.92,2,1,266.3,0,1,0
281,68.68,14,4,36.8,0,0,0
282,21.22,3,4,28.6,0,0,0
283,28.61,6,2,21.3,0,0,0
284,31.98,23,5,29.1,1,0,0
285,63.63,12,6,9.2,1,0,0
286,155.8,3,0,15.3,1,0,0
287,164.46,0,2,53.1,0,0,0
288,118.64,23,5,145.1,0,0,0
289,129.18,1,3,21.9,0,0,0
290,36.21,12,4,4.6,0,0,0
291,212.43,21,0,0.8,0,1,0
292,253.43,3,5,5.8,1,0,0
293,138.77,9,1,9.2,1,1,0
294,34.32,9,2,86.9,0,0,0
295,88.32,9,6,40.2,0,0,0
296,50.79,4,2,205.0,0,1,0
297,114.22,2,3,87.5,0,0,0
298,58.35,11,1,21.5,0,0,0
299,176.98,18,5,120.3,0,0,0
300,68.13,16,3,12.0,0,1,0
301,71.45,10,5,1.1,0,2,0
302,146.62,5,6,91.6,0,0,0
303,169.98,10,0,6.4,0,1,0
304,62.36,16,2,18.3,0,1,0
305,64.99,4,2,273.8,1,0,0
306,387.93,2,5,17.9,0,2,0
307,170.71,20,2,55.5,0,0,0
308,24.79,17,5,2.8,0,0,0
309,78.07,15,3,31.2,0,0,0
310,137.0,21,1,0.8,0,0,0
311,151.25,20,0,86.7,0,1,0
312,134.27,15,4,69.4,1,0,0
313,14.69,13,5,5.7,0,0,0
314,1120.51,2,5,11.3,0,3,1
315,141.67,23,6,83.3,0,1,0
316,222.41,9,6,3.6,1,0,0
317,104.7,4,1,33.4,0,1,0
318,87.09,1,6,93.8,0,1,0
319,48.86,5,3,75.4,0,0,0
320,144.65,21,5,161.8,0,2,0
321,43.71,5,0,50.6,0,0,0
322,126.13,0,1,0.5,0,0,0
323,66.92,21,0,94.6,0,1,0
324,59.42,1,5,29.1,0,1,0
325,74.03,0,4,41.3,0,0,0
326,81.08,11,4,26.5,0,1,0
327,86.13,12,4,1.3,0,1,0
328,219.68,4,2,44.7,0,0,0
329,239.79,1,1,33.9,0,0,0
330,55.18,20,2,85.2,0,0,0
331,75.95,20,2,8.6,0,4,0
332,128.47,4,2,18.3,0,0,0
333,152.34,13,0,120.1,1,2,0
334,151.81,10,3,23.3,0,1,0
335,42.59,13,5,78.5,0,2,0
336,145.04,7,1,55.4,0,0,0
337,130.98,13,1,54.5,0,1,0
338,134.13,23,2,27.6,0,0,0
339,66.27,3,3,28.9,0,2,0
340,41.93,16,1,13.2,0,2,0
341,84.69,0,2,65.2,1,1,0
342,82.51,18,6,0.7,1,0,0
343,35.04,5,3,7.6,0,0,0
344,26.97,10,1,26.7,1,2,0
345,298.93,8,2,11.5,0,0,0
346,75.28,11,0,106.8,1,0,0
347,52.97,22,3,75.7,0,3,0
348,67.58,9,4,39.7,1,0,0
349,973.05,13,2,16.7,0,1,1
350,23.61,13,6,76.7,0,2,0
351,102.12,8,6,85.4,0,2,0
352,274.88,9,4,8.3,0,1,0
353,111.32,18,0,19.9,0,1,0
354,40.42,5,3,71.0,0,1,0
355,112.4,14,6,37.7,0,0,0
356,138.81,12,0,163.5,0,0,0
357,120.35,0,4,10.6,0,0,0
358,121.19,12,3,18.1,0,1,0
359,24.04,23,3,2.7,1,0,0
360,564.68,11,4,30.1,0,0,1
361,22.62,0,0,14.7,0,0,0
362,35.07,17,5,32.2,0,0,0
363,143.48,5,1,16.2,0,1,0
364,117.64,5,0,53.5,0,1,0
365,115.69,23,1,21.1,0,0,0
366,10.21,20,6,52.9,0,0,0
367,1255.67,18,0,6.0,0,1,1
368,164.9,6,4,140.3,0,0,0
369,91.6,13,0,24.7,0,1,0
370,826.53,17,0,174.3,0,0,1
371,116.15,9,5,72.2,1,1,0
372,76.4,10,2,79.5,0,1,0
373,42.83,3,2,149.8,1,0,0
374,58.05,23,3,12.2,0,1,0
375,150.11,7,3,45.0,0,0,0
376,189.16,14,1,53.0,0,0,0
377,75.64,6,4,6.9,0,0,0
378,160.68,0,5,25.4,0,0,0
379,53.71,14,5,2.6,0,1,0
380,148.85,4,4,37.7,0,0,0
381,28.03,17,5,113.6,0,0,0
382,274.27,22,3,88.8,0,0,0
383,14.42,9,1,34.9,0,0,0
384,73.29,2,1,61.2,1,0,0
385,68.75,21,3,1.8,0,0,0
386,1496.28,14,2,19.1,0,0,1
387,97.68,4,3,18.4,0,1,0
388,27.51,15,0,168.3,1,0,0
389,110.13,0,5,12.7,0,0,0
390,222.19,0,6,15.0,0,1,0
391,87.18,4,1,4.5,0,0,0
392,66.93,14,5,15.5,0,0,0
393,202.04,15,6,38.0,0,0,0
394,60.19,7,5,34.3,0,0,0
395,68.29,20,2,96.7,0,0,0
396,62.49,11,6,127.8,0,0,0
397,46.22,21,4,5.2,0,1,0
398,224.08,22,3,42.8,0,0,0
399,64.49,3,0,3.7,0,1,0
400,119.07,12,3,37.5,1,0,0
401,46.98,20,5,134.8,0,0,0
402,28.92,8,2,30.4,0,1,0
403,152.58,2,2,15.9,0,2,0
